seed,wind_level,obstacle_density,planner,n_targets,visited_targets,coverage_ratio,weighted_coverage,safe_weighted_coverage,mission_success,collected_value,total_value,energy_used,planned_policy_budget,final_battery,reserve_margin,reserve_shortfall,mission_time,return_success,battery_violation,path_risk_accumulated,clearance_violation_rate,min_clearance,emergency_abort,actual_gust_multiplier,route,route_node_ids,runtime_seconds
60,severe,cluttered,NearestNeighbor,32,17,0.53125,0.5234375,0.0,False,33.5,64.0,1749.412471216379,1730.4303400182123,-549.4124712163789,-629.4124712163789,True,99.90928775064168,False,True,0.0681558481637001,0.0038267433674734,2.0,True,3.0,8.000:8.000|23.701:26.650|32.304:40.997|40.311:33.583|41.293:31.525|42.417:26.580|39.972:8.209|66.397:38.952|69.288:37.716|82.615:39.295|80.045:44.725|82.738:53.047|98.425:55.973|91.521:71.936|79.709:71.038|76.191:79.907|57.400:79.622|56.423:77.103|8.000:8.000,0-13-4-31-25-5-22-21-2-30-1-8-20-26-3-14-27-7-0,0.001583534060046
60,severe,cluttered,ValuePerDistance,32,15,0.46875,0.53125,0.0,False,34.0,64.0,1863.182511080852,1892.141764253793,-663.1825110808527,-743.1825110808527,True,92.7965238435301,False,True,0.1262940044553574,0.0081681897628669,2.0,True,3.0,8.000:8.000|23.701:26.650|13.708:41.604|21.795:47.597|32.304:40.997|41.293:31.525|40.311:33.583|42.417:26.580|39.972:8.209|66.397:38.952|69.288:37.716|82.615:39.295|80.045:44.725|82.738:53.047|91.694:33.715|79.254:17.371|8.000:8.000,0-13-23-17-4-25-31-5-22-21-2-30-1-8-16-12-0,0.001149820163846
60,severe,cluttered,WindAwareGreedy,32,16,0.5,0.5546875,0.0,False,35.5,64.0,2216.311776520116,2254.2981461956742,-1016.3117765201156,-1096.3117765201157,True,113.46282146748553,False,True,0.3266375638891278,0.0222712312556068,2.0,True,3.0,8.000:8.000|23.701:26.650|42.417:26.580|41.293:31.525|40.311:33.583|39.972:8.209|66.397:38.952|82.615:39.295|91.694:33.715|80.045:44.725|82.738:53.047|79.709:71.038|95.687:83.066|89.318:91.626|80.665:96.615|91.521:71.936|98.425:55.973|8.000:8.000,0-13-5-25-31-22-21-30-16-1-8-3-15-29-9-26-20-0,0.00133977108635
60,severe,cluttered,ReserveOnlyPlanner,32,8,0.25,0.3046875,0.3046875,True,19.5,64.0,947.6107656445266,1110.5904630709615,252.38923435547343,172.38923435547346,False,52.43262304857064,True,False,0.2956811655747552,0.0357846631415346,2.0,False,3.0,8.000:8.000|23.701:26.650|42.417:26.580|41.293:31.525|40.311:33.583|39.972:8.209|32.304:40.997|21.795:47.597|13.708:41.604|8.000:8.000,0-13-5-25-31-22-4-17-23-0,0.0008682031184434
60,severe,cluttered,FairRiskAwareGreedy,32,11,0.34375,0.3671875,0.3671875,True,23.5,64.0,1043.363110347962,1075.4638467293275,156.63688965203852,76.63688965203852,False,88.86666119166296,True,False,0.0041122372409772,0.0003431878186148,2.8284271247461903,False,3.0,8.000:8.000|23.701:26.650|40.311:33.583|42.417:26.580|39.972:8.209|66.397:38.952|82.615:39.295|80.045:44.725|82.738:53.047|69.288:37.716|98.425:55.973|79.254:17.371|8.000:8.000,0-13-31-5-22-21-30-1-8-2-20-12-0,0.001319478964433
60,severe,cluttered,FairALNSPlanner,32,15,0.46875,0.4921875,0.4921875,True,31.5,64.0,922.2206183738168,1156.521472873232,277.7793816261829,197.7793816261829,False,92.62722180073312,True,False,0.0073464284883232,0.0004605597154405,2.8284271247461903,False,3.0,8.000:8.000|13.708:41.604|21.795:47.597|40.135:51.316|32.304:40.997|23.701:26.650|40.311:33.583|41.293:31.525|42.417:26.580|66.397:38.952|80.045:44.725|82.738:53.047|98.425:55.973|82.615:39.295|69.288:37.716|39.972:8.209|8.000:8.000,0-23-17-28-4-13-31-25-5-21-1-8-20-30-2-22-0,6.183788845082745
60,severe,cluttered,RAWA-RHP,32,18,0.5625,0.578125,0.578125,True,37.0,64.0,959.4717110467506,1159.588811266226,240.52828895324956,160.52828895324953,False,99.74579935270415,True,False,0.0253101266222288,0.0013401586104066,2.0,False,3.0,8.000:8.000|39.972:8.209|42.417:26.580|41.293:31.525|40.311:33.583|23.701:26.650|32.304:40.997|40.135:51.316|50.946:67.930|56.423:77.103|57.400:79.622|49.256:82.033|44.050:81.986|23.820:80.786|44.214:95.954|37.938:86.973|38.438:71.038|21.795:47.597|13.708:41.604|8.000:8.000,0-22-5-25-31-13-4-28-10-7-27-6-32-18-11-24-19-17-23-0,20.845998174045235
60,severe,sparse,NearestNeighbor,32,25,0.78125,0.808695652173913,0.0,False,46.5,57.5,1878.389405282865,1930.629590260135,-678.389405282865,-758.389405282865,True,119.8027639828646,False,True,0.0706429329618985,0.002755298707417,2.0,True,3.0,8.000:8.000|27.794:22.221|31.234:30.946|33.702:38.219|24.554:35.204|15.171:31.983|14.666:42.834|13.765:55.168|28.854:53.900|31.783:51.086|42.304:32.636|42.328:27.458|48.264:17.818|52.261:17.470|61.873:28.464|72.333:29.399|75.192:28.824|75.107:31.946|79.764:35.214|88.939:46.566|80.081:52.107|84.942:69.047|78.041:71.371|74.186:68.950|69.069:66.008|61.308:64.819|8.000:8.000,0-12-9-13-8-5-17-10-27-31-18-14-32-22-21-7-15-16-3-29-11-28-23-26-1-2-0,0.0020040639210492
60,severe,sparse,ValuePerDistance,32,18,0.5625,0.6173913043478261,0.0,False,35.5,57.5,2040.927940107515,2067.763955698104,-840.9279401075152,-920.9279401075152,True,108.60315938564555,False,True,0.0599744560753972,0.0032187048807889,2.0,True,3.0,8.000:8.000|14.666:42.834|13.765:55.168|28.854:53.900|31.783:51.086|33.702:38.219|42.304:32.636|42.328:27.458|27.794:22.221|31.234:30.946|24.554:35.204|15.171:31.983|61.308:64.819|69.069:66.008|74.186:68.950|78.041:71.371|84.942:69.047|80.081:52.107|88.939:46.566|8.000:8.000,0-17-10-27-31-13-18-14-12-9-8-5-2-1-26-23-28-11-29-0,0.0012736578937619
60,severe,sparse,WindAwareGreedy,32,15,0.46875,0.5826086956521739,0.0,False,33.5,57.5,2141.4225999532964,1936.6005171147965,-941.4225999532964,-1021.4225999532964,True,104.42630564718452,False,True,0.138228702489269,0.0089722525859283,2.0,True,3.0,8.000:8.000|14.666:42.834|13.765:55.168|42.304:32.636|33.702:38.219|27.794:22.221|31.234:30.946|31.783:51.086|28.854:53.900|61.308:64.819|63.628:78.633|69.069:66.008|80.081:52.107|84.942:69.047|78.041:71.371|74.186:68.950|8.000:8.000,0-17-10-18-13-12-9-31-27-2-19-1-11-28-23-26-0,0.0012845359742641
60,severe,sparse,ReserveOnlyPlanner,32,7,0.21875,0.208695652173913,0.208695652173913,True,12.0,57.5,935.3150868967274,1093.1696024835437,264.6849131032725,184.6849131032725,False,47.56827719259563,True,False,0.0582716693809619,0.0073066650163725,2.0,False,3.0,8.000:8.000|27.794:22.221|42.304:32.636|42.328:27.458|48.264:17.818|52.261:17.470|61.873:28.464|72.333:29.399|8.000:8.000,0-12-18-14-32-22-21-7-0,0.0008257019799202
60,severe,sparse,FairRiskAwareGreedy,32,12,0.375,0.4869565217391304,0.4869565217391304,True,28.0,57.5,1107.5691538048045,1115.315606800255,92.4308461951959,12.430846195195898,False,96.7174097905155,True,False,0.0020009451649287,0.0001539275672038,2.8284271247461903,False,3.0,8.000:8.000|14.666:42.834|13.765:55.168|42.304:32.636|27.794:22.221|33.702:38.219|31.783:51.086|63.628:78.633|80.081:52.107|61.308:64.819|69.069:66.008|78.041:71.371|74.186:68.950|8.000:8.000,0-17-10-18-12-13-31-19-11-2-1-23-26-0,0.0019002400804311
60,severe,sparse,FairALNSPlanner,32,21,0.65625,0.7391304347826086,0.7391304347826086,True,42.5,57.5,1041.5248192462836,1281.9506642801016,158.47518075371633,78.47518075371633,False,114.07347341211631,True,False,0.0021140338539888,9.614793267705776e-05,2.8284271247461903,False,3.0,8.000:8.000|15.171:31.983|14.666:42.834|13.765:55.168|28.854:53.900|31.783:51.086|61.308:64.819|69.069:66.008|61.873:28.464|72.333:29.399|75.192:28.824|75.107:31.946|80.081:52.107|84.942:69.047|78.041:71.371|74.186:68.950|63.628:78.633|42.304:32.636|42.328:27.458|33.702:38.219|31.234:30.946|27.794:22.221|8.000:8.000,0-5-17-10-27-31-2-1-21-7-15-16-11-28-23-26-19-18-14-13-9-12-0,10.077590198954567
60,severe,sparse,RAWA-RHP,32,23,0.71875,0.782608695652174,0.782608695652174,True,45.0,57.5,1022.6842992117656,1248.1136379199545,177.31570078823444,97.31570078823444,False,112.31984793575268,True,False,0.0115565585632523,0.0004829858099669,2.0,False,3.0,8.000:8.000|27.794:22.221|31.234:30.946|33.702:38.219|42.328:27.458|42.304:32.636|61.873:28.464|72.333:29.399|75.192:28.824|79.764:35.214|75.107:31.946|80.081:52.107|61.308:64.819|69.069:66.008|74.186:68.950|84.942:69.047|78.041:71.371|63.628:78.633|54.491:81.067|31.783:51.086|28.854:53.900|13.765:55.168|14.666:42.834|15.171:31.983|8.000:8.000,0-12-9-13-14-18-21-7-15-3-16-11-2-1-26-28-23-19-30-31-27-10-17-5-0,42.80919194105081
60,moderate,cluttered,NearestNeighbor,32,17,0.53125,0.553030303030303,0.0,False,36.5,66.0,1373.1122876697782,1259.73759284664,-173.11228766977823,-253.11228766977823,True,102.69891694653704,False,True,0.135990643675166,0.0077960913829085,2.0,True,3.0,8.000:8.000|10.676:31.905|24.385:25.903|31.556:15.701|39.859:33.041|36.267:39.850|43.643:49.200|43.194:56.172|49.058:68.772|43.548:77.809|51.581:78.728|55.477:84.365|70.975:76.398|63.812:70.710|63.255:47.457|66.525:44.843|77.632:53.480|92.768:51.528|8.000:8.000,0-2-3-32-20-9-29-15-26-18-5-14-31-13-24-11-23-21-0,0.001614122884348
60,moderate,cluttered,ValuePerDistance,32,19,0.59375,0.6439393939393939,0.0,False,42.5,66.0,1351.1806527069575,1367.312081620541,-151.18065270695774,-231.18065270695772,True,111.29565801236096,False,True,0.1441992649919055,0.0075050663644781,2.0,True,3.0,8.000:8.000|10.676:31.905|15.728:47.317|14.672:64.152|13.117:68.036|15.059:69.028|24.585:77.603|20.966:77.897|43.548:77.809|51.581:78.728|55.477:84.365|70.975:76.398|63.812:70.710|63.255:47.457|66.525:44.843|77.632:53.480|92.933:78.634|92.359:84.038|86.493:76.093|49.058:68.772|8.000:8.000,0-2-4-27-16-22-19-7-18-5-14-31-13-24-11-23-30-10-25-26-0,0.0013668499886989
60,moderate,cluttered,WindAwareGreedy,32,17,0.53125,0.5909090909090909,0.0,False,39.0,66.0,1369.0480695598674,1401.3882489913146,-169.0480695598674,-249.0480695598674,True,113.45402079283734,False,True,0.1208879131357155,0.007003971797386,2.0,True,3.0,8.000:8.000|10.676:31.905|15.728:47.317|14.672:64.152|13.117:68.036|15.059:69.028|24.585:77.603|43.194:56.172|39.859:33.041|36.267:39.850|24.385:25.903|31.556:15.701|63.255:47.457|66.525:44.843|77.632:53.480|63.812:70.710|43.548:77.809|20.966:77.897|8.000:8.000,0-2-4-27-16-22-19-15-20-9-3-32-24-11-23-13-18-7-0,0.001397819025442
60,moderate,cluttered,ReserveOnlyPlanner,32,15,0.46875,0.4469696969696969,0.4469696969696969,True,29.5,66.0,1106.8569419684256,1196.2167147208957,93.14305803157424,13.143058031574228,False,91.2883735128126,True,False,0.1095312922024701,0.0070746771052323,2.0,False,3.0,8.000:8.000|10.676:31.905|15.728:47.317|14.672:64.152|13.117:68.036|15.059:69.028|24.585:77.603|20.966:77.897|43.194:56.172|39.859:33.041|36.267:39.850|24.385:25.903|31.556:15.701|49.181:19.976|56.037:32.570|43.643:49.200|8.000:8.000,0-2-4-27-16-22-19-7-15-20-9-3-32-17-28-29-0,0.0013922909274697
60,moderate,cluttered,FairRiskAwareGreedy,32,12,0.375,0.5,0.5,True,33.0,66.0,1085.8274645741412,1123.8501379838533,114.17253542585892,34.17253542585891,False,112.58017348021352,True,False,0.0089549255668638,0.0006906551114032,2.0,False,3.0,8.000:8.000|10.676:31.905|39.859:33.041|63.255:47.457|43.194:56.172|93.364:17.702|77.632:53.480|66.525:44.843|92.933:78.634|43.548:77.809|14.672:64.152|15.728:47.317|24.385:25.903|8.000:8.000,0-2-20-24-15-12-23-11-30-18-27-4-3-0,0.0018205118831247
60,moderate,cluttered,FairALNSPlanner,32,18,0.5625,0.6287878787878788,0.6287878787878788,True,41.5,66.0,1064.6316864278217,1192.4537451872066,135.36831357217875,55.36831357217875,False,118.60646897892704,True,False,0.0410028598005676,0.0021926310099606,2.0,False,3.0,8.000:8.000|10.676:31.905|36.267:39.850|43.643:49.200|43.194:56.172|15.728:47.317|14.672:64.152|13.117:68.036|15.059:69.028|20.966:77.897|24.585:77.603|39.859:33.041|63.255:47.457|66.525:44.843|77.632:53.480|92.933:78.634|92.359:84.038|86.493:76.093|70.975:76.398|8.000:8.000,0-2-9-29-15-4-27-16-22-7-19-20-24-11-23-30-10-25-31-0,12.767416490940375
60,moderate,cluttered,RAWA-RHP,32,23,0.71875,0.8181818181818182,0.8181818181818182,True,54.0,66.0,1053.291900029169,1203.7541584029998,146.70809997083114,66.70809997083114,False,126.00926179112376,True,False,0.0443265655694452,0.0018788359432572,2.0,False,3.0,8.000:8.000|31.556:15.701|39.859:33.041|36.267:39.850|43.194:56.172|63.255:47.457|66.525:44.843|93.364:17.702|84.074:25.618|77.632:53.480|92.933:78.634|92.359:84.038|86.493:76.093|70.975:76.398|63.812:70.710|49.058:68.772|51.581:78.728|43.548:77.809|24.585:77.603|20.966:77.897|15.059:69.028|14.672:64.152|15.728:47.317|10.676:31.905|8.000:8.000,0-32-20-9-15-24-11-12-8-23-30-10-25-31-13-26-5-18-19-7-22-27-4-2-0,53.9434444939252
61,severe,sparse,NearestNeighbor,32,24,0.75,0.7538461538461538,0.0,False,49.0,65.0,1977.9763659465257,2139.7915607666537,-777.9763659465257,-857.9763659465257,True,116.704555410663,False,True,0.1384740005041151,0.0057715186066173,2.0,True,3.0,8.000:8.000|22.655:15.952|26.439:23.323|29.207:22.076|19.810:27.969|33.189:34.647|34.817:36.558|39.281:42.114|42.145:45.068|40.570:49.763|35.183:51.490|31.448:53.508|32.508:57.951|23.631:47.623|18.246:69.020|28.584:73.204|48.661:68.617|64.137:71.475|69.844:73.466|71.225:75.025|73.228:79.948|81.471:76.302|73.847:66.603|74.934:59.799|88.480:58.704|8.000:8.000,0-28-31-32-1-24-2-12-17-21-25-13-18-26-10-4-14-29-15-7-19-9-3-16-11-0,0.0019256060477346
61,severe,sparse,ValuePerDistance,32,23,0.71875,0.7846153846153846,0.0,False,51.0,65.0,2058.2588809366225,2073.201381819073,-858.2588809366227,-938.2588809366227,True,114.48941492471604,False,True,0.1129802433651461,0.0048716529114515,2.0,True,3.0,8.000:8.000|19.810:27.969|26.439:23.323|29.207:22.076|33.189:34.647|34.817:36.558|39.281:42.114|42.145:45.068|40.570:49.763|35.183:51.490|31.448:53.508|32.508:57.951|48.661:68.617|58.559:55.148|70.802:51.952|74.934:59.799|73.847:66.603|71.225:75.025|69.844:73.466|64.137:71.475|73.228:79.948|81.471:76.302|88.480:58.704|91.544:28.927|8.000:8.000,0-1-31-32-24-2-12-17-21-25-13-18-14-6-20-16-3-7-15-29-19-9-11-23-0,0.0014523779973387
61,severe,sparse,WindAwareGreedy,32,14,0.4375,0.5153846153846153,0.0,False,33.5,65.0,2051.309371564579,2128.625239033929,-851.3093715645789,-931.3093715645788,True,97.61782769985464,False,True,0.198847563043986,0.0138993221454586,2.0,True,3.0,8.000:8.000|19.810:27.969|39.281:42.114|40.570:49.763|42.145:45.068|58.559:55.148|73.847:66.603|88.480:58.704|91.544:28.927|70.802:51.952|74.934:59.799|71.225:75.025|69.844:73.466|64.137:71.475|73.228:79.948|8.000:8.000,0-1-12-21-17-6-3-11-23-20-16-7-15-29-19-0,0.0012229417916387
61,severe,sparse,ReserveOnlyPlanner,32,8,0.25,0.2769230769230769,0.2769230769230769,True,18.0,65.0,1181.9042716579183,1167.7339761858998,18.09572834208143,-61.90427165791857,True,51.01489507811634,True,False,0.0806471346207717,0.0091592186008887,2.0,False,3.0,8.000:8.000|19.810:27.969|26.439:23.323|29.207:22.076|39.281:42.114|40.570:49.763|42.145:45.068|58.559:55.148|22.655:15.952|8.000:8.000,0-1-31-32-12-21-17-6-28-0,0.0008673188276588
61,severe,sparse,FairRiskAwareGreedy,32,14,0.4375,0.5,0.5,True,32.5,65.0,1001.5792307022164,1045.8098540170165,198.420769297784,118.420769297784,False,90.36022777263015,True,False,0.0085268504848204,0.0005702688122924,2.8284271247461903,False,3.0,8.000:8.000|19.810:27.969|39.281:42.114|40.570:49.763|32.508:57.951|48.661:68.617|73.847:66.603|91.544:28.927|88.480:58.704|70.802:51.952|33.189:34.647|34.817:36.558|26.439:23.323|29.207:22.076|22.655:15.952|8.000:8.000,0-1-12-21-18-14-3-23-11-20-24-2-31-32-28-0,0.0017454379703849
61,severe,sparse,FairALNSPlanner,32,23,0.71875,0.7461538461538462,0.7461538461538462,True,48.5,65.0,1069.7026576838437,1294.7259537497296,130.2973423161564,50.2973423161564,False,110.87028616446749,True,False,0.0189116678789311,0.0007943169101177,2.0,False,3.0,8.000:8.000|19.810:27.969|23.631:47.623|31.448:53.508|32.508:57.951|35.183:51.490|58.559:55.148|48.661:68.617|64.137:71.475|73.847:66.603|69.844:73.466|74.934:59.799|71.225:75.025|73.228:79.948|60.295:87.662|58.438:92.482|40.570:49.763|42.145:45.068|39.281:42.114|34.817:36.558|33.189:34.647|29.207:22.076|26.439:23.323|22.655:15.952|8.000:8.000,0-1-26-13-18-25-6-14-29-3-15-16-7-19-5-27-21-17-12-2-24-32-31-28-0,10.173840089933949
61,severe,sparse,RAWA-RHP,32,23,0.71875,0.7692307692307693,0.7692307692307693,True,50.0,65.0,1038.3484059309874,1248.5734536015598,161.65159406901236,81.65159406901236,False,108.60188610383322,True,False,0.0714988878981807,0.0030219209802737,2.0,False,3.0,8.000:8.000|19.810:27.969|39.281:42.114|42.145:45.068|40.570:49.763|35.183:51.490|31.448:53.508|32.508:57.951|58.559:55.148|70.802:51.952|88.480:58.704|74.934:59.799|73.847:66.603|69.844:73.466|71.225:75.025|73.228:79.948|58.438:92.482|60.295:87.662|48.661:68.617|34.817:36.558|33.189:34.647|29.207:22.076|26.439:23.323|22.655:15.952|8.000:8.000,0-1-12-17-21-25-13-18-6-20-11-16-3-15-7-19-27-5-14-2-24-32-31-28-0,15.61659251502715
61,moderate,cluttered,NearestNeighbor,32,20,0.625,0.6377952755905512,0.0,False,40.5,63.5,1312.5046967709566,1362.9894039390365,-112.50469677095666,-192.50469677095663,True,109.74734544239912,False,True,0.1059374371527342,0.0051772479967976,2.0,True,3.0,8.000:8.000|24.056:15.882|30.354:14.359|31.488:18.069|32.526:35.814|29.264:41.969|42.800:36.639|48.491:44.174|52.898:43.178|62.180:41.287|62.791:28.990|70.415:23.155|80.229:29.889|73.462:37.248|96.932:26.573|96.306:21.534|87.338:14.631|80.199:63.210|77.884:63.300|73.146:64.655|70.556:63.382|8.000:8.000,0-15-5-8-2-31-6-11-7-14-9-20-26-21-3-16-1-24-17-4-28-0,0.0017367000691592
61,moderate,cluttered,ValuePerDistance,32,21,0.65625,0.6692913385826772,0.0,False,42.5,63.5,1296.3991020217177,1396.7980687394609,-96.39910202171748,-176.39910202171748,True,115.7224845251435,False,True,0.1154772119045619,0.0054641263571295,2.0,True,3.0,8.000:8.000|30.354:14.359|31.488:18.069|24.056:15.882|42.800:36.639|48.491:44.174|52.898:43.178|62.180:41.287|73.462:37.248|80.229:29.889|96.932:26.573|96.306:21.534|87.338:14.631|70.415:23.155|62.791:28.990|32.526:35.814|29.264:41.969|37.819:57.851|32.565:66.145|40.093:71.759|29.883:80.468|19.686:75.917|8.000:8.000,0-5-8-15-6-11-7-14-21-26-3-16-1-20-9-2-31-29-32-13-22-18-0,0.0013615719508379
61,moderate,cluttered,WindAwareGreedy,32,15,0.46875,0.5354330708661418,0.0,False,34.0,63.5,1279.4989946424191,1290.3912828624914,-79.49899464241888,-159.4989946424189,True,99.39761299305232,False,True,0.0457873752056425,0.0028648186886555,2.0,True,3.0,8.000:8.000|30.354:14.359|24.056:15.882|31.488:18.069|42.800:36.639|48.491:44.174|62.180:41.287|80.229:29.889|96.932:26.573|96.306:21.534|87.338:14.631|73.462:37.248|52.898:43.178|32.526:35.814|29.264:41.969|19.686:75.917|8.000:8.000,0-5-15-8-6-11-14-26-3-16-1-21-7-2-31-18-0,0.0012841538991779
61,moderate,cluttered,ReserveOnlyPlanner,32,13,0.40625,0.4566929133858268,0.4566929133858268,True,29.0,63.5,1112.9457148450597,1127.0682298348015,87.05428515494015,7.054285154940146,False,83.10446002086464,True,False,0.1356596139363797,0.0101496869591401,2.0,False,3.0,8.000:8.000|30.354:14.359|24.056:15.882|31.488:18.069|32.526:35.814|42.800:36.639|48.491:44.174|62.180:41.287|52.898:43.178|29.264:41.969|37.819:57.851|19.686:75.917|29.883:80.468|40.093:71.759|8.000:8.000,0-5-15-8-2-6-11-14-7-31-29-18-22-13-0,0.0012740630190819
61,moderate,cluttered,FairRiskAwareGreedy,32,14,0.4375,0.5275590551181102,0.5275590551181102,True,33.5,63.5,1088.0640311375823,1106.7543477735271,111.9359688624176,31.93596886241761,False,114.37173678842991,True,False,0.0006666250388588,4.444220246320185e-05,2.8284271247461903,False,3.0,8.000:8.000|30.354:14.359|48.491:44.174|62.180:41.287|42.800:36.639|24.056:15.882|32.526:35.814|29.264:41.969|80.229:29.889|73.462:37.248|52.898:43.178|75.980:71.170|80.199:63.210|77.884:63.300|77.858:79.410|8.000:8.000,0-5-11-14-6-15-2-31-26-21-7-10-24-17-25-0,0.0020112849306315
61,moderate,cluttered,FairALNSPlanner,32,22,0.6875,0.7637795275590551,0.7637795275590551,True,48.5,63.5,1068.4656474242793,1222.6733528673174,131.53435257572056,51.53435257572056,False,124.28576804954356,True,False,0.0288032252276582,0.0012554159303416,2.0,False,3.0,8.000:8.000|30.354:14.359|31.488:18.069|42.800:36.639|50.924:80.201|61.247:90.830|83.923:95.941|72.830:88.758|77.858:79.410|75.980:71.170|80.199:63.210|77.884:63.300|73.146:64.655|62.180:41.287|80.229:29.889|87.338:14.631|96.306:21.534|96.932:26.573|73.462:37.248|52.898:43.178|48.491:44.174|32.526:35.814|24.056:15.882|8.000:8.000,0-5-8-6-27-30-19-12-25-10-24-17-4-14-26-1-16-3-21-7-11-2-15-0,11.133580181980506
61,moderate,cluttered,RAWA-RHP,32,25,0.78125,0.8267716535433071,0.8267716535433071,True,52.5,63.5,1051.6955225012855,1206.7671749793185,148.304477498714,68.304477498714,False,127.05582983845365,True,False,0.0287258159145157,0.0011075726805224,2.0,False,3.0,8.000:8.000|24.056:15.882|30.354:14.359|31.488:18.069|32.526:35.814|42.800:36.639|48.491:44.174|52.898:43.178|62.180:41.287|80.229:29.889|87.338:14.631|96.306:21.534|96.932:26.573|80.199:63.210|77.884:63.300|73.146:64.655|75.980:71.170|77.858:79.410|72.830:88.758|83.923:95.941|61.247:90.830|50.924:80.201|40.093:71.759|32.565:66.145|37.819:57.851|29.264:41.969|8.000:8.000,0-15-5-8-2-6-11-7-14-26-1-16-3-24-17-4-10-25-12-19-30-27-13-32-29-31-0,71.6767482580617
61,moderate,sparse,NearestNeighbor,32,18,0.5625,0.5801526717557252,0.0,False,38.0,65.5,1316.846520387778,1297.4482603234578,-116.84652038777816,-196.84652038777816,True,102.08992948851524,False,True,0.1007805210280313,0.005477680036841,2.0,True,3.0,8.000:8.000|45.660:30.578|49.545:25.386|58.072:12.461|62.338:17.336|86.954:25.707|72.749:45.656|66.453:56.985|74.639:60.617|73.260:64.865|63.893:67.926|55.737:69.068|51.455:73.509|49.549:74.696|53.316:81.128|60.650:78.557|64.969:78.479|70.237:85.998|72.320:85.847|8.000:8.000,0-15-29-26-31-18-30-7-21-3-27-23-28-32-2-12-16-17-25-0,0.0016549669671803
61,moderate,sparse,ValuePerDistance,32,16,0.5,0.5419847328244275,0.0,False,35.5,65.5,1315.003337199831,1355.328365609642,-115.00333719983088,-195.00333719983087,True,100.02423287015016,False,True,0.0697032525713318,0.0041852975075506,2.0,True,3.0,8.000:8.000|49.545:25.386|45.660:30.578|62.338:17.336|58.072:12.461|66.453:56.985|73.260:64.865|74.639:60.617|63.893:67.926|60.650:78.557|64.969:78.479|72.320:85.847|70.237:85.998|76.641:94.405|78.372:93.364|84.780:88.525|79.869:82.444|8.000:8.000,0-29-15-31-26-7-3-21-27-12-16-25-17-13-19-4-10-0,0.0011604600585997
61,moderate,sparse,WindAwareGreedy,32,15,0.46875,0.5419847328244275,0.0,False,35.5,65.5,1270.4470484615297,1380.1141777100247,-70.44704846152945,-150.44704846152945,True,107.26769953362398,False,True,0.2703404851024622,0.019183812076973,2.0,True,3.0,8.000:8.000|49.545:25.386|62.338:17.336|58.072:12.461|45.660:30.578|14.023:81.203|30.180:81.669|25.385:91.243|51.455:73.509|60.650:78.557|64.969:78.479|53.316:81.128|49.549:74.696|41.307:64.724|50.584:56.997|40.848:61.414|8.000:8.000,0-29-31-26-15-14-11-20-28-12-16-2-32-9-24-5-0,0.0013207469601184
61,moderate,sparse,ReserveOnlyPlanner,32,11,0.34375,0.3816793893129771,0.3816793893129771,True,25.0,65.5,1115.558060701933,1149.0025393364765,84.44193929806688,4.441939298066885,False,79.03579741290274,True,False,0.1360868275236892,0.0119485507049842,2.0,False,3.0,8.000:8.000|49.545:25.386|58.072:12.461|62.338:17.336|45.660:30.578|50.584:56.997|66.453:56.985|51.455:73.509|49.549:74.696|60.650:78.557|63.893:67.926|58.071:61.723|8.000:8.000,0-29-26-31-15-24-7-28-32-12-27-22-0,0.0011352398432791
61,moderate,sparse,FairRiskAwareGreedy,32,14,0.4375,0.5190839694656488,0.5190839694656488,True,34.0,65.5,1080.817093781849,1101.089442089126,119.182906218151,39.18290621815101,False,114.92203737156584,True,False,7.088308920377706e-06,4.72555143393727e-07,2.8284271247461903,False,3.0,8.000:8.000|49.545:25.386|60.650:78.557|51.455:73.509|53.316:81.128|76.641:94.405|78.372:93.364|64.969:78.479|73.260:64.865|66.453:56.985|62.338:17.336|50.584:56.997|45.660:30.578|41.307:64.724|40.848:61.414|8.000:8.000,0-29-12-28-2-13-19-16-3-7-31-24-15-9-5-0,0.0020430129952728
61,moderate,sparse,FairALNSPlanner,32,19,0.59375,0.6335877862595419,0.6335877862595419,True,41.5,65.5,1039.574144233562,1169.3476290381082,160.42585576643816,80.42585576643816,False,118.96074311837316,True,False,0.0069438333941083,0.0003471959512178,2.0,False,3.0,8.000:8.000|49.545:25.386|45.660:30.578|40.848:61.414|41.307:64.724|49.549:74.696|51.455:73.509|25.385:91.243|53.316:81.128|60.650:78.557|64.969:78.479|55.737:69.068|63.893:67.926|70.237:85.998|72.320:85.847|76.641:94.405|84.780:88.525|78.372:93.364|29.827:84.480|30.180:81.669|8.000:8.000,0-29-15-5-9-32-28-20-2-12-16-23-27-17-25-13-4-19-1-11-0,14.211093205027282
